Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1775049721,2026-04-01T13:22:01Z,SKX5721,"-13.537697,-71.94326",0,0,275
1775049922,2026-04-01T13:25:22Z,SKX5721,"-13.537731,-71.943047",0,3,253
1775049936,2026-04-01T13:25:36Z,SKX5721,"-13.53767,-71.942841",0,3,222
1775049954,2026-04-01T13:25:54Z,SKX5721,"-13.537437,-71.942665",0,3,180
1775049969,2026-04-01T13:26:09Z,SKX5721,"-13.537228,-71.942665",0,3,174
1775049987,2026-04-01T13:26:27Z,SKX5721,"-13.53701,-71.942719",0,2,196
1775050003,2026-04-01T13:26:43Z,SKX5721,"-13.536809,-71.942665",0,2,239
1775050029,2026-04-01T13:27:09Z,SKX5721,"-13.536713,-71.942451",0,0,275
1775050389,2026-04-01T13:33:09Z,SKX5721,"-13.536693,-71.942657",0,4,275
1775050397,2026-04-01T13:33:17Z,SKX5721,"-13.536678,-71.942879",0,6,275
1775050404,2026-04-01T13:33:24Z,SKX5721,"-13.536655,-71.943108",0,7,275
1775050411,2026-04-01T13:33:31Z,SKX5721,"-13.536588,-71.943382",0,8,286
1775050418,2026-04-01T13:33:38Z,SKX5721,"-13.536335,-71.943497",0,8,337
1775050424,2026-04-01T13:33:44Z,SKX5721,"-13.536064,-71.943466",0,10,5
1775050429,2026-04-01T13:33:49Z,SKX5721,"-13.535831,-71.943428",0,11,5
1775050433,2026-04-01T13:33:53Z,SKX5721,"-13.535575,-71.943405",0,12,5
1775050438,2026-04-01T13:33:58Z,SKX5721,"-13.535339,-71.943436",0,12,343
1775050443,2026-04-01T13:34:03Z,SKX5721,"-13.535214,-71.943718",0,11,292
1775050448,2026-04-01T13:34:08Z,SKX5721,"-13.535203,-71.943932",0,10,275
1775050453,2026-04-01T13:34:13Z,SKX5721,"-13.535179,-71.944183",0,11,275
1775050457,2026-04-01T13:34:17Z,SKX5721,"-13.535156,-71.94442",0,12,275
1775050461,2026-04-01T13:34:21Z,SKX5721,"-13.535121,-71.944695",0,12,275
1775050466,2026-04-01T13:34:26Z,SKX5721,"-13.535087,-71.945007",0,13,275
1775050473,2026-04-01T13:34:33Z,SKX5721,"-13.535053,-71.945435",0,15,275
1775050480,2026-04-01T13:34:40Z,SKX5721,"-13.534993,-71.945969",0,15,275
1775050487,2026-04-01T13:34:47Z,SKX5721,"-13.534939,-71.946526",0,16,275
1775050495,2026-04-01T13:34:55Z,SKX5721,"-13.534882,-71.947128",0,17,275
1775050502,2026-04-01T13:35:02Z,SKX5721,"-13.534807,-71.947792",0,18,275
1775050509,2026-04-01T13:35:09Z,SKX5721,"-13.534783,-71.948341",0,17,270
1775050512,2026-04-01T13:35:12Z,SKX5721,"-13.534813,-71.948578",0,16,261
1775050516,2026-04-01T13:35:16Z,SKX5721,"-13.534888,-71.948837",0,14,250
1775050521,2026-04-01T13:35:21Z,SKX5721,"-13.53503,-71.949104",0,13,241
1775050526,2026-04-01T13:35:26Z,SKX5721,"-13.535261,-71.949341",0,12,225
1775050531,2026-04-01T13:35:31Z,SKX5721,"-13.53547,-71.949463",0,10,208
1775050536,2026-04-01T13:35:36Z,SKX5721,"-13.535691,-71.949478",0,9,182
1775050544,2026-04-01T13:35:44Z,SKX5721,"-13.535912,-71.949425",0,6,177
1775050551,2026-04-01T13:35:51Z,SKX5721,"-13.535992,-71.949638",0,7,247
1775050558,2026-04-01T13:35:58Z,SKX5721,"-13.535969,-71.949867",0,7,275
1775050566,2026-04-01T13:36:06Z,SKX5721,"-13.535934,-71.950134",0,8,275
1775050571,2026-04-01T13:36:11Z,SKX5721,"-13.535913,-71.950356",0,8,275
1775050576,2026-04-01T13:36:16Z,SKX5721,"-13.53589,-71.950562",0,9,275
1775050583,2026-04-01T13:36:23Z,SKX5721,"-13.535854,-71.950874",0,10,275
1775050591,2026-04-01T13:36:31Z,SKX5721,"-13.53582,-71.951271",0,11,275
1775050597,2026-04-01T13:36:37Z,SKX5721,"-13.535773,-71.951653",0,13,275
1775050604,2026-04-01T13:36:44Z,SKX5721,"-13.53574,-71.952087",0,14,275
1775050611,2026-04-01T13:36:51Z,SKX5721,"-13.535691,-71.952568",0,15,275
1775050619,2026-04-01T13:36:59Z,SKX5721,"-13.535637,-71.953041",0,14,275
1775050626,2026-04-01T13:37:06Z,SKX5721,"-13.535599,-71.953522",0,13,275
1775050633,2026-04-01T13:37:13Z,SKX5721,"-13.535545,-71.953941",0,12,275
1775050637,2026-04-01T13:37:17Z,SKX5721,"-13.535517,-71.954147",0,10,281
1775050645,2026-04-01T13:37:25Z,SKX5721,"-13.535305,-71.954338",0,8,329
1775050651,2026-04-01T13:37:31Z,SKX5721,"-13.535099,-71.954308",0,6,2
1775050771,2026-04-01T13:39:31Z,SKX5721,"-13.534888,-71.954292",0,3,5
1775050781,2026-04-01T13:39:41Z,SKX5721,"-13.534676,-71.954269",0,6,5
1775050789,2026-04-01T13:39:49Z,SKX5721,"-13.534447,-71.954247",0,7,5
